---,EnemyID,DisplayName,DifficultyID,ThemeID,FamilyID,RoleID,StatusEffectOnHit,ProjectileCategory,ProjectileVisualProfileID,ProjectileMesh,ProjectileMeshScale,VisualConcept,ImagePrompt,ModelStatus,Archetype,Feeling,Rarity,StageTag,PrimaryColor,SecondaryColor,XPValue
Slime,Slime,Slime,Easy,Dungeon,Melee,Melee,None,DOT,,,1,"Body: Bouncy round green blob, no legs, single droplet silhouette Face: Wide slack mouth (sole facial feature)","Generate a clean game enemy concept of Slime: Bouncy round green blob, no legs, single droplet silhouette; Wide slack mouth (sole facial feature). Use Green and Dark green. Transparent background.",MeshReady,Melee,MowDown,Core,Dungeon,Green,Dark green,20
BoneWalker,BoneWalker,Bone Walker,Easy,Dungeon,Melee,Melee,None,DOT,,,1,"Body: Stripped skeleton humanoid, full skeleton body Face: One empty eye socket (sole facial feature)","Generate a clean game enemy concept of Bone Walker: Stripped skeleton humanoid, full skeleton body; One empty eye socket (sole facial feature). Use Bone-white and Charcoal. Transparent background.",MeshReady,Melee,Pressure,Core,Dungeon,Bone-white,Charcoal,20
RatPack,RatPack,Rat Pack,Easy,Dungeon,Rush,Rush,None,DOT,,,1,Body: Tight cluster of rats moving as one fused creature Face: Protruding fangs (sole facial feature),Generate a clean game enemy concept of Rat Pack: Tight cluster of rats moving as one fused creature; Protruding fangs (sole facial feature). Use Rust brown and Dark brown. Transparent background.,MeshReady,Rush,MowDown,Core,Dungeon,Rust brown,Dark brown,20
CaveBat,CaveBat,Cave Bat,Easy,Dungeon,Flying,Flying,None,DOT,,,1,"Body: Standard bat with full bat anatomy (wings, legs, body) Face: Fangs (sole facial feature)","Generate a clean game enemy concept of Cave Bat: Standard bat with full bat anatomy (wings, legs, body); Fangs (sole facial feature). Use Dark purple and Black. Transparent background.",MeshReady,Flying,Pressure,Core,Dungeon,Dark purple,Black,20
HexSlinger,HexSlinger,Hex Slinger,Easy,Dungeon,Ranged,Ranged,None,DOT,,,1,Body: Small hooded humanoid in tattered robes Face: One large glowing eye under the hood (sole facial feature),Generate a clean game enemy concept of Hex Slinger: Small hooded humanoid in tattered robes; One large glowing eye under the hood (sole facial feature). Use Deep purple and Bone-white. Transparent background.,MeshReady,Ranged,DodgeThreat,Core,Dungeon,Deep purple,Bone-white,20
TombSpider,TombSpider,Tomb Spider,Easy,Dungeon,Melee,Melee,None,DOT,,,1,"Body: Large hairy spider with all 8 legs, oversized presence Face: Cluster of multiple eyes (sole facial feature)","Generate a clean game enemy concept of Tomb Spider: Large hairy spider with all 8 legs, oversized presence; Cluster of multiple eyes (sole facial feature). Use Deep purple and Sickly green. Transparent background.",MeshReady,Melee,Pressure,Rare,Dungeon,Deep purple,Sickly green,20
StoneSentinel,StoneSentinel,Stone Sentinel,Easy,Dungeon,Ranged,Ranged,None,DOT,,,1,"Body: Rigid stone statue figure, vaguely humanoid Face: Single carved horn (sole facial feature)","Generate a clean game enemy concept of Stone Sentinel: Rigid stone statue figure, vaguely humanoid; Single carved horn (sole facial feature). Use Grey stone and Cracked gold. Transparent background.",MeshReady,Ranged,DodgeThreat,Rare,Dungeon,Grey stone,Cracked gold,20
MimicLure,MimicLure,Mimic Lure,Easy,Dungeon,Rush,Rush,None,DOT,,,1,Body: Treasure chest creature on stubby legs Face: Long protruding tongue from the chest opening (sole facial feature),Generate a clean game enemy concept of Mimic Lure: Treasure chest creature on stubby legs; Long protruding tongue from the chest opening (sole facial feature). Use Oak brown and Blood red. Transparent background.,MeshReady,Rush,Disruptor,Late,Dungeon,Oak brown,Blood red,20
BoneConjurer,BoneConjurer,Bone Conjurer,Easy,Dungeon,Ranged,Ranged,None,DOT,,,1,"Body: Robed skeletal figure, full skeleton beneath tattered robes Face: One glowing eye in the skull socket (sole facial feature)","Generate a clean game enemy concept of Bone Conjurer: Robed skeletal figure, full skeleton beneath tattered robes; One glowing eye in the skull socket (sole facial feature). Use Dark blue and Bone-white. Transparent background.",MeshReady,Ranged,Specialist,Late,Dungeon,Dark blue,Bone-white,20
CryptWraith,CryptWraith,Crypt Wraith,Easy,Dungeon,Melee,Melee,None,DOT,,,1,"Body: Translucent shrouded figure, flowing robe-form Face: Ragged mouth (sole facial feature)","Generate a clean game enemy concept of Crypt Wraith: Translucent shrouded figure, flowing robe-form; Ragged mouth (sole facial feature). Use Dark teal and Bone-white. Transparent background.",MeshReady,Melee,Disruptor,Late,Dungeon,Dark teal,Bone-white,20
MushroomBrute,MushroomBrute,Mushroom Brute,Medium,Forest,Melee,Melee,None,DOT,,,1,"Body: Cluster mushroom with no legs, cap-and-stem silhouette Face: Large mouth (sole facial feature)","Generate a clean game enemy concept of Mushroom Brute: Cluster mushroom with no legs, cap-and-stem silhouette; Large mouth (sole facial feature). Use Cream and Bruise purple. Transparent background.",MeshReady,Melee,MowDown,Core,Forest,Cream,Bruise purple,20
TreantSapling,TreantSapling,Treant Sapling,Medium,Forest,Melee,Melee,None,DOT,,,1,Body: Small walking tree with branch limbs Face: One knothole eye in the trunk (sole facial feature),Generate a clean game enemy concept of Treant Sapling: Small walking tree with branch limbs; One knothole eye in the trunk (sole facial feature). Use Dark brown and Leaf green. Transparent background.,MeshReady,Melee,Pressure,Core,Forest,Dark brown,Leaf green,20
